-0.001,-0.02,0.96,-0.02
0.007,0.07,0.94,-0.01
0.017,0.08,0.9,-0.05
0.039,-0.01,0.94,0.02
0.047,-0.1,0.93,0.09
0.06,0.06,0.94,0.11
0.077,0.03,0.98,0.03
0.098,0.14,0.98,0.07
0.108,0.03,0.98,0.02
0.128,0,0.98,0.03
0.14,0.04,0.96,0.06
0.158,0.09,0.96,-0.01
0.17,0.09,0.98,0.07
0.188,-0.07,1,0.08
0.198,0.11,1.02,0.02
0.219,-0.14,1.01,0.18
0.228,-0.16,1.06,0.09
0.248,-0.04,0.94,-0.28
0.259,0.1,0.99,-0.14
0.279,-0.06,0.97,-0.05
0.29,-0.01,0.94,0.12
0.309,0.03,1,0.24
0.329,-0.11,0.95,-0.03
0.34,-0.03,0.93,0.08
0.359,-0.05,0.96,0.16
0.379,-0.14,0.9,-0.09
0.389,0.11,1,-0.17
0.409,0.36,1,-0.04
0.42,0.24,0.96,0.03
0.44,0.12,1.03,0.35
0.45,-0.18,1.02,0.22
0.461,-0.51,0.92,-0.08
0.479,-0.05,1.01,0.22
0.49,-0.05,0.96,0.1
0.5,-0.01,0.96,-0.02
0.511,-0.17,0.86,-0.49
0.53,1.18,1.49,1.41
0.551,-0.35,1.19,0.56
0.56,-0.39,1.11,0.35
0.571,-0.23,1.1,0.09
0.58,0.06,1.14,0.2
0.591,0,1.03,-0.24
0.611,0.48,1.15,0.05
0.622,0.06,1.12,-0.23
0.631,0.2,1.24,0.18
0.651,-0.36,1.18,0.12
0.661,-0.33,1.16,0.54
0.681,-0.32,1.15,0.31
0.701,-0.15,1.15,-0.04
0.711,-0.19,1.15,-0.31
0.731,0.05,1.08,-0.52
0.742,0.07,1.07,-0.43
0.762,-0.16,1.05,-0.15
0.773,-0.26,1.06,-0.3
0.782,-0.11,1.04,0.15
0.792,-0.02,0.98,0.27
0.802,-0.11,0.96,0.02
0.813,-0.16,0.9,-0.14
0.832,0.19,0.95,-0.18
0.844,0.13,0.95,-0.15
0.862,-0.12,0.91,-0.13
0.873,-0.06,0.9,-0.35
0.882,-0.07,0.9,-0.35
0.893,0.12,0.94,0
0.912,-0.17,0.86,0.62
0.923,-0.82,0.9,0.07
0.943,-1.34,0.77,2.34
0.963,1.06,1.26,-1.25
0.983,-0.75,0.77,-0.6
0.995,1.12,1.34,-0.52
1.003,1.12,1.34,-0.52
1.023,-0.02,0.81,-1.68
1.033,0.93,1.19,-1.27
1.051,0.43,1.07,0.03
1.053,-0.24,0.87,0.83
1.063,0.19,0.99,0.52
1.093,0.72,1.13,0.19
1.114,-0.69,0.97,0.54
1.134,-0.82,1.2,0.64
